x,y,z,pressure,x-coordinate,y-coordinate,z-coordinate
0.19995052,0.02295731,0.131,56324.93,0.19995052,0.02295731,0.131
0.19646345,0.021106582,0.131,57886.445,0.19646345,0.021106582,0.131
0.1929764,0.019414525,0.131,59445.41,0.19297639,0.019414527,0.131
0.18948933,0.017876294,0.131,60973.336,0.18948932,0.017876294,0.131
0.18600225,0.0164779,0.131,62432.996,0.18600227,0.0164779,0.131
0.18251519,0.015206633,0.131,63786.031,0.1825152,0.015206633,0.131
0.17902812,0.014050936,0.131,65000.027,0.17902814,0.014050935,0.131
0.17554107,0.013000302,0.131,66053.18,0.17554107,0.013000302,0.131
0.25225648,0.053818509,0.131,36378.707,0.25225648,0.053818513,0.131
0.2487694,0.051889684,0.131,37454.539,0.2487694,0.051889688,0.131
0.24528234,0.049960859,0.131,38574.23,0.24528234,0.049960863,0.131
0.24179527,0.048032038,0.131,39734.148,0.24179527,0.048032038,0.131
0.23830822,0.046103209,0.131,40930.555,0.23830822,0.046103213,0.131
0.23482114,0.044174388,0.131,42159.551,0.23482116,0.044174388,0.131
0.23133408,0.042245559,0.131,43420.152,0.23133409,0.042245563,0.131
0.22784702,0.040316738,0.131,44713.32,0.22784702,0.040316734,0.131
0.22435996,0.03838791,0.131,46040.031,0.22435996,0.03838791,0.131
0.22087291,0.036459088,0.131,47401.828,0.22087289,0.036459085,0.131
0.21738583,0.03453026,0.131,48799.625,0.21738583,0.03453026,0.131
0.21389876,0.032601438,0.131,50232.512,0.21389876,0.032601435,0.131
0.21041171,0.030672612,0.131,51698.969,0.21041171,0.030672612,0.131
0.20692465,0.028743785,0.131,53197.719,0.20692465,0.028743785,0.131
0.20343757,0.02681496,0.131,54727.441,0.20343758,0.02681496,0.131
0.19995052,0.024886135,0.131,56285.16,0.19995052,0.024886135,0.131
0.19646345,0.02295731,0.131,57862.742,0.19646345,0.02295731,0.131
0.1929764,0.021106582,0.131,59442.035,0.19297639,0.021106582,0.131
0.18948933,0.019414525,0.131,60994.023,0.18948932,0.019414527,0.131
0.18600225,0.017876294,0.131,62478.758,0.18600227,0.017876294,0.131
0.18251519,0.0164779,0.131,63852.027,0.1825152,0.0164779,0.131
0.17902812,0.015206633,0.131,65077.469,0.17902814,0.015206633,0.131
0.17554107,0.014050936,0.131,66134.406,0.17554107,0.014050935,0.131
0.17205401,0.013000302,0.131,67021.836,0.17205401,0.013000302,0.131
0.25225648,0.055747338,0.131,36258.105,0.25225648,0.055747338,0.131
0.2487694,0.053818509,0.131,37327.898,0.2487694,0.053818513,0.131
0.24528234,0.051889684,0.131,38444.883,0.24528234,0.051889688,0.131
0.24179527,0.049960859,0.131,39605.691,0.24179527,0.049960863,0.131
0.23830822,0.048032038,0.131,40806.043,0.23830822,0.048032038,0.131
0.23482114,0.046103209,0.131,42041.156,0.23482116,0.046103213,0.131
0.23133408,0.044174388,0.131,43309.082,0.23133409,0.044174388,0.131
0.22784702,0.042245559,0.131,44609.977,0.22784702,0.042245563,0.131
0.22435996,0.040316738,0.131,45944.309,0.22435996,0.040316734,0.131
0.22087291,0.03838791,0.131,47313.559,0.22087289,0.03838791,0.131
0.21738583,0.036459088,0.131,48719.066,0.21738583,0.036459085,0.131
0.21389876,0.03453026,0.131,50160.727,0.21389876,0.03453026,0.131
0.21041171,0.032601438,0.131,51637.34,0.21041171,0.032601435,0.131
0.20692465,0.030672612,0.131,53147.469,0.20692465,0.030672612,0.131
0.20343757,0.028743785,0.131,54689.445,0.20343758,0.028743785,0.131
0.19995052,0.02681496,0.131,56259.859,0.19995052,0.02681496,0.131
0.19646345,0.024886135,0.131,57851.152,0.19646345,0.024886135,0.131
0.1929764,0.02295731,0.131,59447.832,0.19297639,0.02295731,0.131
0.18948933,0.021106582,0.131,61020.785,0.18948932,0.021106582,0.131
0.18600225,0.019414525,0.131,62528.742,0.18600227,0.019414527,0.131
0.18251519,0.017876294,0.131,63923.262,0.1825152,0.017876294,0.131
0.17902812,0.0164779,0.131,65163.254,0.17902814,0.0164779,0.131
0.17554107,0.015206633,0.131,66228.336,0.17554107,0.015206633,0.131
0.17205401,0.014050936,0.131,67123.086,0.17205401,0.014050935,0.131
0.16856694,0.013000302,0.131,67862.633,0.16856694,0.013000302,0.131
0.25225648,0.057676159,0.131,36149.207,0.25225648,0.057676163,0.131
0.2487694,0.055747338,0.131,37211.906,0.2487694,0.055747338,0.131
0.24528234,0.053818509,0.131,38324.691,0.24528234,0.053818513,0.131
0.24179527,0.051889684,0.131,39484.73,0.24179527,0.051889688,0.131
0.23830822,0.049960859,0.131,40687.887,0.23830822,0.049960863,0.131
0.23482114,0.048032038,0.131,41928.742,0.23482116,0.048032038,0.131
0.23133408,0.046103209,0.131,43204.402,0.23133409,0.046103213,0.131
0.22784702,0.044174388,0.131,44513.988,0.22784702,0.044174388,0.131
0.22435996,0.042245559,0.131,45857.344,0.22435996,0.042245559,0.131
0.22087291,0.040316738,0.131,47235.531,0.22087289,0.040316734,0.131
0.21738583,0.03838791,0.131,48649.875,0.21738583,0.03838791,0.131
0.21389876,0.036459088,0.131,50101.043,0.21389876,0.036459085,0.131
0.21041171,0.03453026,0.131,51588.438,0.21041171,0.03453026,0.131
0.20692465,0.032601438,0.131,53110.43,0.20692465,0.032601435,0.131
0.20343757,0.030672612,0.131,54664.941,0.20343758,0.030672612,0.131
0.19995052,0.028743785,0.131,56247.93,0.19995052,0.028743785,0.131
0.19646345,0.02681496,0.131,57852.102,0.19646345,0.02681496,0.131
0.1929764,0.024886135,0.131,59463.617,0.19297639,0.024886135,0.131
0.18948933,0.02295731,0.131,61055.262,0.18948932,0.02295731,0.131
0.18600225,0.021106582,0.131,62584.809,0.18600227,0.021106582,0.131
0.18251519,0.019414525,0.131,64001.57,0.1825152,0.019414527,0.131
0.17902812,0.017876294,0.131,65259.543,0.17902814,0.017876294,0.131
0.17554107,0.0164779,0.131,66336.68,0.17554107,0.0164779,0.131
0.17205401,0.015206633,0.131,67239.625,0.17205401,0.015206633,0.131
0.16856694,0.014050936,0.131,67982.0,0.16856694,0.014050935,0.131
0.16507988,0.013000302,0.131,68547.789,0.16507988,0.013000302,0.131
0.25225648,0.059604988,0.131,36052.039,0.25225648,0.059604988,0.131
0.2487694,0.057676159,0.131,37107.047,0.2487694,0.057676163,0.131
0.24528234,0.055747338,0.131,38214.473,0.24528234,0.055747338,0.131
